outcome,omitted_domain,coef,se,pvalue,r2,n
MHLTH_CrudePrev,poverty_pct,3.356276821741844,0.014757162295750416,0.0,0.4244816856240393,70133
OBESITY_CrudePrev,poverty_pct,4.15562472769208,0.03390557786009895,0.0,0.17641273517259237,70133
MHLTH_CrudePrev,low_edu_pct,3.4537069262161766,0.01370931076993576,0.0,0.47505476966739624,70133
OBESITY_CrudePrev,low_edu_pct,4.167852275163475,0.032756740418378526,0.0,0.1875474807390658,70133
MHLTH_CrudePrev,single_parent_pct,3.341522697644764,0.01387981718330624,0.0,0.4524867926968885,70133
OBESITY_CrudePrev,single_parent_pct,3.960813395392474,0.032775858044615254,0.0,0.1723454096928696,70133
MHLTH_CrudePrev,renter_pct,3.6363794618096663,0.013070334424150084,0.0,0.5246493007481046,70133
OBESITY_CrudePrev,renter_pct,4.981527986389656,0.031174568342757555,0.0,0.2669130051936218,70133
MHLTH_CrudePrev,overcrowded_pct,3.573919608348059,0.012140101158798766,0.0,0.5527252458447772,70133
OBESITY_CrudePrev,overcrowded_pct,4.729538979943614,0.029942448312684205,0.0,0.26240447757349195,70133
MHLTH_CrudePrev,no_vehicle_pct,3.612981364672892,0.012543459204600198,0.0,0.5419159527913835,70133
OBESITY_CrudePrev,no_vehicle_pct,4.731284568487651,0.030786488677725203,0.0,0.2519257225099084,70133
MHLTH_CrudePrev,nonemployed_u65_pct,3.154320176761245,0.013663913726985152,0.0,0.4317829871477832,70133
OBESITY_CrudePrev,nonemployed_u65_pct,3.859901470303045,0.03161663173094075,0.0,0.17527512934951028,70133
